_id,name,image,price,description,category,stock
1,Wireless Headphones,product_1.jpeg,59,"High-quality sound with noise cancellation and Bluetooth connectivity.",Electronics & Gadgets,100
2,Smartphone,product_2.jpeg,499,"Latest smartphone with high-resolution display and fast processor.",Electronics & Gadgets,100
3,Laptop,product_3.jpeg,799,"Powerful laptop suitable for work, gaming, and multimedia.",Electronics & Gadgets,100
4,Smartwatch,product_4.jpeg,129,"Track your fitness and receive notifications on the go.",Electronics & Gadgets,100
5,Bluetooth Speaker,product_5.jpeg,45,"Portable speaker with deep bass and long battery life.",Electronics & Gadgets,100
6,Men's T-Shirt,product_6.jpeg,19,"Comfortable cotton t-shirt perfect for everyday wear.",Fashion & Apparel,100
7,Women's Dress,product_7.jpeg,39,"Elegant and stylish dress for casual and party occasions.",Fashion & Apparel,100
8,Kids' Jacket,product_8.jpeg,29,"Warm and lightweight jacket for kids with fun prints.",Fashion & Apparel,100
9,Running Shoes,product_9.jpeg,49,"Durable and breathable shoes for sports and fitness.",Fashion & Apparel,100
10,Wristwatch,product_10.jpeg,59,"Classic analog wristwatch with waterproof design.",Fashion & Apparel,100
11,Non-stick Pan,product_11.jpeg,25,"Easy-to-clean non-stick pan ideal for everyday cooking.",Home & Kitchen,100
12,Decor Vase,product_12.jpeg,18,"Modern decorative vase to enhance your home aesthetics.",Home & Kitchen,100
13,Storage Box,product_13.jpeg,12,"Sturdy plastic storage box for organizing household items.",Home & Kitchen,100
14,Electric Kettle,product_14.jpeg,29,"Quick-boil kettle with auto shut-off and stainless steel body.",Home & Kitchen,100
15,Table Lamp,product_15.jpeg,22,"LED table lamp with adjustable brightness and angle.",Home & Kitchen,100
